[2025-12-17 03:47:53] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:47:54] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:47:55] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:47:56] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:47:57] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:47:58] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:47:59] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:00] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:01] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:03] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:04] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:05] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:06] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:07] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:08] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:09] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:10] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:11] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:12] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:14] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:15] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:16] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:17] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:18] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:19] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:20] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:21] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:22] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:23] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:25] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:26] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:27] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:28] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:29] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:30] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:31] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:32] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:33] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:34] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:36] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:37] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:38] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:39] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:40] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:41] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:42] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:43] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:44] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:45] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:47] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:48] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:49] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:50] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:51] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:52] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:53] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:54] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:55] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:57] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:48:58] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:48:59] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:00] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:01] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:02] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:03] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:04] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:05] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:06] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:08] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:09] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:10] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:11] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
